,ID,Subject,Grasp,ADL,Video,StartFrame,EndFrame,OppType,PIP,VirtualFingers,Thumb,Duration,depthStart,depthEnd,SequenceNum,BigCategories,SmallCategories
0,Grasp00001,subject 1,sphere 3 finger,cooking,subject_1_gopro_seg_1.mp4,117,177,Pad,Power,2-3,Abd,2.0,117,175,0,circular,pow-circular
2,Grasp00003,subject 1,large diameter,cooking,subject_1_gopro_seg_1.mp4,294,401,Palm,Power,2-5,Abd,3.57,279,366,0,pow-prismatic,pow-cylindric
3,Grasp00004,subject 1,power sphere,cooking,subject_1_gopro_seg_1.mp4,421,521,Palm,Power,2-5,Abd,3.33,384,481,0,circular,pow-circular
4,Grasp00005,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,568,592,Pad,Precision,2-5,Abd,0.8,528,552,0,pre-prismatic,pre-prismatic
5,Grasp00006,subject 1,lateral tripod,cooking,subject_1_gopro_seg_1.mp4,597,626,Side,Intermediate,3,Add,0.97,557,586,0,int-lateral,int-lateral
6,Grasp00007,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,690,714,Pad,Precision,2-5,Abd,0.8,646,670,0,pre-prismatic,pre-prismatic
7,Grasp00008,subject 1,tripod,cooking,subject_1_gopro_seg_1.mp4,742,772,Pad,Precision,2-3,Abd,1.0,698,726,0,circular,pre-circular
8,Grasp00009,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,794,865,Pad,Precision,2-5,Abd,2.37,747,817,0,pre-prismatic,pre-prismatic
10,Grasp00011,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_1.mp4,1268,1313,Pad,Precision,2-3,Abd,1.5,1218,1263,0,pre-prismatic,pre-prismatic
11,Grasp00012,subject 1,tripod,cooking,subject_1_gopro_seg_1.mp4,1355,1406,Pad,Precision,2-3,Abd,1.7,1301,1352,0,circular,pre-circular
12,Grasp00013,subject 1,tip pinch,cooking,subject_1_gopro_seg_1.mp4,1459,1608,Pad,Precision,2,Abd,4.97,1405,1548,0,pre-prismatic,pre-pinch
13,Grasp00014,subject 1,lateral,cooking,subject_1_gopro_seg_1.mp4,1618,1738,Side,Intermediate,2-5,Add,4.0,1556,1644,0,int-lateral,int-lateral
14,Grasp00015,subject 1,tripod,cooking,subject_1_gopro_seg_1.mp4,1945,1983,Pad,Precision,2-3,Abd,1.27,1849,1875,0,circular,pre-circular
