ID,Subject,Grasp,ADL,Video,StartFrame,EndFrame,OppType,PIP,VirtualFingers,Thumb,Duration,depthStart,depthEnd,SequenceNum
Grasp00001,subject 1,sphere 3 finger,cooking,subject_1_gopro_seg_1.avi,117,177,Pad,Power,2-3,Abd,2,117,175,0
Grasp00002,subject 1,parallel extension,cooking,subject_1_gopro_seg_1.avi,207,270,Pad,Precision,2-5,Abd,2.1,196,256,0
Grasp00003,subject 1,large diameter,cooking,subject_1_gopro_seg_1.avi,294,401,Palm,Power,2-5,Abd,3.57,279,366,0
Grasp00004,subject 1,power sphere,cooking,subject_1_gopro_seg_1.avi,421,521,Palm,Power,2-5,Abd,3.33,384,481,0
Grasp00005,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,568,592,Pad,Precision,2-5,Abd,0.8,528,552,0
Grasp00006,subject 1,lateral tripod,cooking,subject_1_gopro_seg_1.avi,597,626,Side,Intermediate,3,Add,0.97,557,586,0
Grasp00007,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,690,714,Pad,Precision,2-5,Abd,0.8,646,670,0
Grasp00008,subject 1,tripod,cooking,subject_1_gopro_seg_1.avi,742,772,Pad,Precision,2-3,Abd,1,698,726,0
Grasp00009,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,794,865,Pad,Precision,2-5,Abd,2.37,747,817,0
Grasp00010,subject 1,push,cooking,subject_1_gopro_seg_1.avi,1076,1180,NoGrip,NoGrip,NoGrip,NoGrip,3.47,1022,1133,0
Grasp00011,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_1.avi,1268,1313,Pad,Precision,2-3,Abd,1.5,1218,1263,0
Grasp00012,subject 1,tripod,cooking,subject_1_gopro_seg_1.avi,1355,1406,Pad,Precision,2-3,Abd,1.7,1301,1352,0
Grasp00013,subject 1,tip pinch,cooking,subject_1_gopro_seg_1.avi,1459,1608,Pad,Precision,2,Abd,4.97,1405,1548,0
Grasp00014,subject 1,lateral,cooking,subject_1_gopro_seg_1.avi,1618,1738,Side,Intermediate,2-5,Add,4,1556,1644,0
Grasp00015,subject 1,tripod,cooking,subject_1_gopro_seg_1.avi,1945,1983,Pad,Precision,2-3,Abd,1.27,1849,1875,0
Grasp00016,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,2021,2046,Pad,Precision,2-5,Abd,0.83,0,1,0
Grasp00017,subject 1,small diameter,cooking,subject_1_gopro_seg_1.avi,2047,2149,Palm,Power,2-5,Abd,3.4,0,1,1
Grasp00018,subject 1,extension type,cooking,subject_1_gopro_seg_1.avi,2320,2441,Pad,Power,2-4,Abd,4.03,2196,2304,0
Grasp00019,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.avi,2493,2539,Palm,Power,2-5,Add,1.53,2350,2397,0
Grasp00020,subject 1,push,cooking,subject_1_gopro_seg_1.avi,2589,2786,NoGrip,NoGrip,NoGrip,NoGrip,6.57,2447,2629,0
Grasp00021,subject 1,small diameter,cooking,subject_1_gopro_seg_1.avi,2851,2989,Palm,Power,2-5,Abd,4.6,2691,2824,0
Grasp00022,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,3009,3025,Pad,Precision,2-5,Abd,0.53,2844,2860,0
Grasp00023,subject 1,stick,cooking,subject_1_gopro_seg_1.avi,3026,3223,Side,Intermediate,2,Add,6.57,2861,3027,1
Grasp00024,subject 1,fixed hook,cooking,subject_1_gopro_seg_1.avi,3228,4035,Palm,Power,2-5,Add,26.9,3032,3788,2
Grasp00025,subject 1,tripod,cooking,subject_1_gopro_seg_1.avi,4046,4181,Pad,Precision,2-3,Abd,4.5,3799,3928,3
Grasp00026,subject 1,tripod,cooking,subject_1_gopro_seg_1.avi,4179,4249,Pad,Precision,2-3,Abd,2.33,3926,3990,4
Grasp00027,subject 1,tripod,cooking,subject_1_gopro_seg_1.avi,4270,4293,Pad,Precision,2-3,Abd,0.77,4011,4034,5
Grasp00028,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.avi,4293,4446,Palm,Power,2-5,Add,5.1,4034,4171,6
Grasp00029,subject 1,fixed hook,cooking,subject_1_gopro_seg_1.avi,4556,5280,Palm,Power,2-5,Add,24.13,4266,4955,7
Grasp00030,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_1.avi,5298,5343,Pad,Precision,2-3,Abd,1.5,4973,5011,8
Grasp00031,subject 1,palmar pinch,cooking,subject_1_gopro_seg_1.avi,5360,5381,Pad,Precision,2,Abd,0.7,5023,5040,9
Grasp00032,subject 1,palmar pinch,cooking,subject_1_gopro_seg_1.avi,5397,5417,Pad,Precision,2,Abd,0.67,5056,5077,10
Grasp00033,subject 1,stick,cooking,subject_1_gopro_seg_1.avi,5418,5647,Side,Intermediate,2,Add,7.63,5078,5291,11
Grasp00034,subject 1,sphere 3 finger,cooking,subject_1_gopro_seg_1.avi,5665,5710,Pad,Power,2-3,Abd,1.5,5308,5353,0
Grasp00035,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.avi,5718,5834,Pad,Precision,2,Abd,3.87,5361,5466,1
Grasp00036,subject 1,precision sphere,cooking,subject_1_gopro_seg_1.avi,5848,6288,Pad,Precision,2-5,Abd,14.67,5479,5913,2
Grasp00037,subject 1,push,cooking,subject_1_gopro_seg_1.avi,6305,6321,NoGrip,NoGrip,NoGrip,NoGrip,0.53,5930,5946,0
Grasp00038,subject 1,quadpod,cooking,subject_1_gopro_seg_1.avi,6342,6544,Pad,Precision,2-4,Abd,6.73,5967,6158,0
Grasp00039,subject 1,palmar pinch,cooking,subject_1_gopro_seg_1.avi,6582,6610,Pad,Precision,2,Abd,0.93,6178,6202,0
Grasp00040,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.avi,6611,6680,Palm,Power,2-5,Add,2.3,6203,6256,1
Grasp00041,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.avi,6737,6804,Palm,Power,2-5,Add,2.23,6309,6371,0
Grasp00042,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.avi,6814,6840,Pad,Precision,2-4,Abd,0.87,6377,6406,0
Grasp00043,subject 1,lateral,cooking,subject_1_gopro_seg_1.avi,6843,7098,Side,Intermediate,2-5,Add,8.5,6409,6637,0
Grasp00044,subject 1,quadpod,cooking,subject_1_gopro_seg_1.avi,7130,7176,Pad,Precision,2-4,Abd,1.53,6669,6717,0
Grasp00045,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.avi,7189,7381,Palm,Power,2-5,Add,6.4,6729,6892,0
Grasp00046,subject 1,push,cooking,subject_1_gopro_seg_1.avi,7428,7619,NoGrip,NoGrip,NoGrip,NoGrip,6.37,6928,7095,0
Grasp00047,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,7658,7673,Pad,Precision,2-5,Abd,0.5,7132,7147,0
Grasp00048,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.avi,7674,9943,Palm,Power,2-5,Add,75.63,7148,9295,1
Grasp00049,subject 1,precision sphere,cooking,subject_1_gopro_seg_1.avi,9994,10046,Pad,Precision,2-5,Abd,1.73,9337,9389,0
