ID,Video,StartFrame,EndFrame,PIP,SmallCategories,BigCategories,Stance,Object
1,GH012471.MP4,479,722,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
2,GH012471.MP4,890,1170,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
3,GH012471.MP4,1315,1483,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
4,GH012471.MP4,1713,2053,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
5,GH012471.MP4,2241,2477,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
6,GH012471.MP4,2711,2856,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
7,GH012471.MP4,3029,3195,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
8,GH012471.MP4,3369,3596,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
9,GH012471.MP4,3703,3860,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
10,GH012471.MP4,4016,4199,Precision,pre-pinch,pre-prismatic,Stand,Beer bottle
11,GH012472.MP4,490,758,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
12,GH012472.MP4,902,1298,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
13,GH012472.MP4,1414,1647,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
14,GH012472.MP4,1823,2124,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
15,GH012472.MP4,2284,2498,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
16,GH012472.MP4,2596,2916,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
17,GH012472.MP4,3093,3313,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
18,GH012472.MP4,3473,3751,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
19,GH012472.MP4,3825,4238,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
20,GH012472.MP4,4420,4888,Precision,pre-prismatic,pre-prismatic,Stand,Beer bottle
21,GH012473.MP4,610,825,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
22,GH012473.MP4,960,1260,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
23,GH012473.MP4,1401,1660,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
24,GH012473.MP4,1788,2101,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
25,GH012473.MP4,2215,2512,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
26,GH012473.MP4,2571,3088,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
27,GH012473.MP4,3233,3461,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
28,GH012473.MP4,3641,3976,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
29,GH012473.MP4,4090,4376,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
30,GH012473.MP4,4562,4808,Power,pow-cylindric,pow-prismatic,Stand,Beer bottle
31,GH012474.MP4,508,731,Precision,pre-circular,circular,Stand,Beer bottle
32,GH012474.MP4,922,1209,Precision,pre-circular,circular,Stand,Beer bottle
33,GH012474.MP4,1337,1569,Precision,pre-circular,circular,Stand,Beer bottle
34,GH012474.MP4,1799,2046,Precision,pre-circular,circular,Stand,Beer bottle
35,GH012474.MP4,2240,2455,Precision,pre-circular,circular,Stand,Beer bottle
36,GH012474.MP4,2666,2888,Precision,pre-circular,circular,Stand,Beer bottle
37,GH012474.MP4,3089,3268,Precision,pre-circular,circular,Stand,Beer bottle
38,GH012474.MP4,3477,3819,Precision,pre-circular,circular,Stand,Beer bottle
39,GH012474.MP4,4031,4328,Precision,pre-circular,circular,Stand,Beer bottle
40,GH012474.MP4,4539,4733,Precision,pre-circular,circular,Stand,Beer bottle
41,GH012476.MP4,376,606,Precision,pre-pinch,pre-prismatic,Stand,Apple
42,GH012476.MP4,731,944,Precision,pre-pinch,pre-prismatic,Stand,Apple
43,GH012476.MP4,1065,1493,Precision,pre-pinch,pre-prismatic,Stand,Apple
44,GH012476.MP4,1616,1987,Precision,pre-pinch,pre-prismatic,Stand,Apple
45,GH012476.MP4,2137,2430,Precision,pre-pinch,pre-prismatic,Stand,Apple
46,GH012476.MP4,2511,2799,Precision,pre-pinch,pre-prismatic,Stand,Apple
47,GH012476.MP4,2945,3151,Precision,pre-pinch,pre-prismatic,Stand,Apple
48,GH012476.MP4,3246,3594,Precision,pre-pinch,pre-prismatic,Stand,Apple
49,GH012476.MP4,3725,3933,Precision,pre-pinch,pre-prismatic,Stand,Apple
50,GH012476.MP4,4033,4259,Precision,pre-pinch,pre-prismatic,Stand,Apple
51,GH012477.MP4,386,567,Power,pow-circular,circular,Stand,Apple
52,GH012477.MP4,689,860,Power,pow-circular,circular,Stand,Apple
53,GH012477.MP4,1009,1305,Power,pow-circular,circular,Stand,Apple
54,GH012477.MP4,1427,1774,Power,pow-circular,circular,Stand,Apple
55,GH012477.MP4,1876,2259,Power,pow-circular,circular,Stand,Apple
56,GH012477.MP4,2382,2658,Power,pow-circular,circular,Stand,Apple
57,GH012477.MP4,2787,3078,Power,pow-circular,circular,Stand,Apple
58,GH012477.MP4,3218,3424,Power,pow-circular,circular,Stand,Apple
59,GH012477.MP4,3547,3810,Power,pow-circular,circular,Stand,Apple
60,GH012477.MP4,3927,4176,Power,pow-circular,circular,Stand,Apple
61,GH012478.MP4,362,569,Power,pow-cylindric,pow-prismatic,Stand,Apple
62,GH012478.MP4,762,1004,Power,pow-cylindric,pow-prismatic,Stand,Apple
63,GH012478.MP4,1165,1389,Power,pow-cylindric,pow-prismatic,Stand,Apple
64,GH012478.MP4,1469,1926,Power,pow-cylindric,pow-prismatic,Stand,Apple
65,GH012478.MP4,2019,2381,Power,pow-cylindric,pow-prismatic,Stand,Apple
66,GH012478.MP4,2446,2799,Power,pow-cylindric,pow-prismatic,Stand,Apple
67,GH012478.MP4,2905,3192,Power,pow-cylindric,pow-prismatic,Stand,Apple
68,GH012478.MP4,3340,3621,Power,pow-cylindric,pow-prismatic,Stand,Apple
69,GH012478.MP4,3746,3946,Power,pow-cylindric,pow-prismatic,Stand,Apple
70,GH012478.MP4,4163,4420,Power,pow-cylindric,pow-prismatic,Stand,Apple
71,GH012479.MP4,282,501,Precision,pre-pinch,pre-prismatic,Stand,Pen
72,GH012479.MP4,618,882,Precision,pre-pinch,pre-prismatic,Stand,Pen
73,GH012479.MP4,1027,1223,Precision,pre-pinch,pre-prismatic,Stand,Pen
74,GH012479.MP4,1312,1618,Precision,pre-pinch,pre-prismatic,Stand,Pen
75,GH012479.MP4,1732,2031,Precision,pre-pinch,pre-prismatic,Stand,Pen
76,GH012479.MP4,2130,2455,Precision,pre-pinch,pre-prismatic,Stand,Pen
77,GH012479.MP4,2728,2994,Precision,pre-pinch,pre-prismatic,Stand,Pen
78,GH012479.MP4,3110,3360,Precision,pre-pinch,pre-prismatic,Stand,Pen
79,GH012479.MP4,3503,3763,Precision,pre-pinch,pre-prismatic,Stand,Pen
80,GH012479.MP4,3896,4115,Precision,pre-pinch,pre-prismatic,Stand,Pen
81,GH012480.MP4,330,565,Precision,pre-prismatic,pre-prismatic,Stand,Pen
82,GH012480.MP4,690,1012,Precision,pre-prismatic,pre-prismatic,Stand,Pen
83,GH012480.MP4,1142,1402,Precision,pre-prismatic,pre-prismatic,Stand,Pen
84,GH012480.MP4,1532,1937,Precision,pre-prismatic,pre-prismatic,Stand,Pen
85,GH012480.MP4,2065,2358,Precision,pre-prismatic,pre-prismatic,Stand,Pen
86,GH012480.MP4,2455,2669,Precision,pre-prismatic,pre-prismatic,Stand,Pen
87,GH012480.MP4,2853,3045,Precision,pre-prismatic,pre-prismatic,Stand,Pen
88,GH012480.MP4,3273,3496,Precision,pre-prismatic,pre-prismatic,Stand,Pen
89,GH012480.MP4,3648,3837,Precision,pre-prismatic,pre-prismatic,Stand,Pen
90,GH012480.MP4,4021,4335,Precision,pre-prismatic,pre-prismatic,Stand,Pen
91,GH012481.MP4,485,846,Intermediate,int-lateral,int-lateral,Stand,Pen
92,GH012481.MP4,950,1621,Intermediate,int-lateral,int-lateral,Stand,Pen
93,GH012481.MP4,1700,1992,Intermediate,int-lateral,int-lateral,Stand,Pen
94,GH012481.MP4,2115,2491,Intermediate,int-lateral,int-lateral,Stand,Pen
95,GH012481.MP4,2586,2924,Intermediate,int-lateral,int-lateral,Stand,Pen
96,GH012481.MP4,3017,3332,Intermediate,int-lateral,int-lateral,Stand,Pen
97,GH012481.MP4,3439,3956,Intermediate,int-lateral,int-lateral,Stand,Pen
98,GH012481.MP4,4088,4371,Intermediate,int-lateral,int-lateral,Stand,Pen
99,GH012481.MP4,4472,4756,Intermediate,int-lateral,int-lateral,Stand,Pen
100,GH012481.MP4,4858,5065,Intermediate,int-lateral,int-lateral,Stand,Pen
101,GH012482.MP4,333,535,Precision,pre-circular,circular,Stand,Coffee mug
102,GH012482.MP4,700,934,Precision,pre-circular,circular,Stand,Coffee mug
103,GH012482.MP4,1105,1416,Precision,pre-circular,circular,Stand,Coffee mug
104,GH012482.MP4,1553,1853,Precision,pre-circular,circular,Stand,Coffee mug
105,GH012482.MP4,2000,2316,Precision,pre-circular,circular,Stand,Coffee mug
106,GH012482.MP4,2494,2743,Precision,pre-circular,circular,Stand,Coffee mug
107,GH012482.MP4,2867,3180,Precision,pre-circular,circular,Stand,Coffee mug
108,GH012482.MP4,3278,3654,Precision,pre-circular,circular,Stand,Coffee mug
109,GH012482.MP4,3794,4169,Precision,pre-circular,circular,Stand,Coffee mug
110,GH012482.MP4,4250,4552,Precision,pre-circular,circular,Stand,Coffee mug
111,GH012483.MP4,389,617,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
112,GH012483.MP4,725,905,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
113,GH012483.MP4,1057,1309,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
114,GH012483.MP4,1413,1869,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
115,GH012483.MP4,1984,2350,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
116,GH012483.MP4,2452,2840,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
117,GH012483.MP4,2961,3425,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
118,GH012483.MP4,3547,3949,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
119,GH012483.MP4,4099,4484,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
120,GH012483.MP4,4642,4960,Precision,pre-prismatic,pre-prismatic,Stand,Coffee mug
121,GH012484.MP4,373,602,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
122,GH012484.MP4,771,1021,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
123,GH012484.MP4,1194,1451,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
124,GH012484.MP4,1561,1897,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
125,GH012484.MP4,2020,2358,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
126,GH012484.MP4,2441,2868,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
127,GH012484.MP4,3013,3406,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
128,GH012484.MP4,3614,3939,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
129,GH012484.MP4,4102,4372,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
130,GH012484.MP4,4659,4937,Precision,pre-pinch,pre-prismatic,Stand,Coffee mug
131,GH012485.MP4,314,541,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
132,GH012485.MP4,731,964,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
133,GH012485.MP4,1045,1463,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
134,GH012485.MP4,1617,2031,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
135,GH012485.MP4,2150,2635,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
136,GH012485.MP4,3079,3416,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
137,GH012485.MP4,3526,3849,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
138,GH012485.MP4,3971,4273,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
139,GH012485.MP4,4454,4791,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
140,GH012485.MP4,4951,5273,Power,pow-cylindric,pow-prismatic,Stand,Coffee mug
141,GH012486.MP4,376,598,Precision,pre-pinch,pre-prismatic,Stand,Tape
142,GH012486.MP4,816,1031,Precision,pre-pinch,pre-prismatic,Stand,Tape
143,GH012486.MP4,1178,1483,Precision,pre-pinch,pre-prismatic,Stand,Tape
144,GH012486.MP4,1571,1947,Precision,pre-pinch,pre-prismatic,Stand,Tape
145,GH012486.MP4,2076,2383,Precision,pre-pinch,pre-prismatic,Stand,Tape
146,GH012486.MP4,2485,2737,Precision,pre-pinch,pre-prismatic,Stand,Tape
147,GH012486.MP4,2876,3127,Precision,pre-pinch,pre-prismatic,Stand,Tape
148,GH012486.MP4,3286,3525,Precision,pre-pinch,pre-prismatic,Stand,Tape
149,GH012486.MP4,3658,3986,Precision,pre-pinch,pre-prismatic,Stand,Tape
150,GH012486.MP4,4093,4333,Precision,pre-pinch,pre-prismatic,Stand,Tape
151,GH012487.MP4,408,588,Precision,pre-circular,circular,Stand,Tape
152,GH012487.MP4,774,981,Precision,pre-circular,circular,Stand,Tape
153,GH012487.MP4,1086,1376,Precision,pre-circular,circular,Stand,Tape
154,GH012487.MP4,1491,1731,Precision,pre-circular,circular,Stand,Tape
155,GH012487.MP4,1915,2140,Precision,pre-circular,circular,Stand,Tape
156,GH012487.MP4,2263,2621,Precision,pre-circular,circular,Stand,Tape
157,GH012487.MP4,2764,2974,Precision,pre-circular,circular,Stand,Tape
158,GH012487.MP4,3167,3378,Precision,pre-circular,circular,Stand,Tape
159,GH012487.MP4,3579,3948,Precision,pre-circular,circular,Stand,Tape
160,GH012487.MP4,4061,4295,Precision,pre-circular,circular,Stand,Tape
161,GH012488.MP4,456,657,Precision,pre-prismatic,pre-prismatic,Stand,Tape
162,GH012488.MP4,789,1038,Precision,pre-prismatic,pre-prismatic,Stand,Tape
163,GH012488.MP4,1240,1468,Precision,pre-prismatic,pre-prismatic,Stand,Tape
164,GH012488.MP4,1564,1918,Precision,pre-prismatic,pre-prismatic,Stand,Tape
165,GH012488.MP4,2058,2476,Precision,pre-prismatic,pre-prismatic,Stand,Tape
166,GH012488.MP4,2592,2844,Precision,pre-prismatic,pre-prismatic,Stand,Tape
167,GH012488.MP4,2988,3321,Precision,pre-prismatic,pre-prismatic,Stand,Tape
168,GH012488.MP4,3424,3718,Precision,pre-prismatic,pre-prismatic,Stand,Tape
169,GH012488.MP4,3916,4198,Precision,pre-prismatic,pre-prismatic,Stand,Tape
170,GH012488.MP4,4343,4654,Precision,pre-prismatic,pre-prismatic,Stand,Tape
171,GH012489.MP4,549,812,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
172,GH012489.MP4,1002,1212,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
173,GH012489.MP4,1390,1590,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
174,GH012489.MP4,1677,1995,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
175,GH012489.MP4,2147,2419,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
176,GH012489.MP4,2667,2886,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
177,GH012489.MP4,3360,3589,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
178,GH012489.MP4,3815,4215,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
179,GH012489.MP4,4502,4782,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
180,GH012489.MP4,4901,5141,Precision,pre-pinch,pre-prismatic,Stand,Foam pig
181,GH012490.MP4,348,534,Power,pow-circular,circular,Stand,Foam pig
182,GH012490.MP4,687,963,Power,pow-circular,circular,Stand,Foam pig
183,GH012490.MP4,1104,1349,Power,pow-circular,circular,Stand,Foam pig
184,GH012490.MP4,1545,1790,Power,pow-circular,circular,Stand,Foam pig
185,GH012490.MP4,1927,2236,Power,pow-circular,circular,Stand,Foam pig
186,GH012490.MP4,2386,2632,Power,pow-circular,circular,Stand,Foam pig
187,GH012490.MP4,2823,3061,Power,pow-circular,circular,Stand,Foam pig
188,GH012490.MP4,3262,3521,Power,pow-circular,circular,Stand,Foam pig
189,GH012490.MP4,3711,3961,Power,pow-circular,circular,Stand,Foam pig
190,GH012490.MP4,4065,4492,Power,pow-circular,circular,Stand,Foam pig
