ID,Grasp,Video,StartFrame,EndFrame,PIP,Subject,Duration,BigCategories,SmallCategories,Timestamp
0,quadpod,040.mp4,1175,1225,Precision,Housekeeper 1,2.0,circular,pre-circular,0:00:47
1,lateral pinch,040.mp4,1225,1350,Intermediate,Housekeeper 1,5.0,int-lateral,int-lateral,0:00:49
2,precision disk,040.mp4,1350,1725,Precision,Housekeeper 1,15.0,circular,pre-circular,0:00:54
3,lateral pinch,040.mp4,1725,1775,Intermediate,Housekeeper 1,2.0,int-lateral,int-lateral,0:01:09
5,index finger extension,040.mp4,1850,2325,Power,Housekeeper 1,19.0,pow-prismatic,pow-oblique,0:01:14
6,lateral pinch,040.mp4,2325,2550,Intermediate,Housekeeper 1,9.0,int-lateral,int-lateral,0:01:33
8,medium wrap,040.mp4,2725,2850,Power,Housekeeper 1,5.0,pow-prismatic,pow-cylindric,0:01:49
9,lateral pinch,040.mp4,2850,2900,Intermediate,Housekeeper 1,2.0,int-lateral,int-lateral,0:01:54
10,precision disk,040.mp4,2900,3350,Precision,Housekeeper 1,18.0,circular,pre-circular,0:01:56
11,medium wrap,040.mp4,3350,3450,Power,Housekeeper 1,4.0,pow-prismatic,pow-cylindric,0:02:14
12,medium wrap,040.mp4,3450,3675,Power,Housekeeper 1,9.0,pow-prismatic,pow-cylindric,0:02:18
13,medium wrap,040.mp4,3725,3825,Power,Housekeeper 1,4.0,pow-prismatic,pow-cylindric,0:02:29
14,index finger extension,040.mp4,4825,5125,Power,Housekeeper 1,12.0,pow-prismatic,pow-oblique,0:03:13
15,index finger extension,040.mp4,5125,5625,Power,Housekeeper 1,20.0,pow-prismatic,pow-oblique,0:03:25
16,adducted thumb,040.mp4,5625,5825,Power,Housekeeper 1,8.0,pow-prismatic,pow-oblique,0:03:45
17,index finger extension,040.mp4,5825,6000,Power,Housekeeper 1,7.0,pow-prismatic,pow-oblique,0:03:53
18,medium wrap,040.mp4,6000,6300,Power,Housekeeper 1,12.0,pow-prismatic,pow-cylindric,0:04:00
19,thumb-3 finger,040.mp4,6850,6950,Precision,Housekeeper 1,4.0,pre-prismatic,pre-prismatic,0:04:34
20,medium wrap,040.mp4,6950,7075,Power,Housekeeper 1,5.0,pow-prismatic,pow-cylindric,0:04:38
21,index finger extension,040.mp4,7075,7550,Power,Housekeeper 1,19.0,pow-prismatic,pow-oblique,0:04:43
23,medium wrap,040.mp4,7875,8500,Power,Housekeeper 1,25.0,pow-prismatic,pow-cylindric,0:05:15
24,precision disk,040.mp4,9875,10250,Precision,Housekeeper 1,15.0,circular,pre-circular,0:06:35
25,lateral pinch,040.mp4,10250,10375,Intermediate,Housekeeper 1,5.0,int-lateral,int-lateral,0:06:50
28,lateral pinch,040.mp4,10800,11075,Intermediate,Housekeeper 1,11.0,int-lateral,int-lateral,0:07:12
29,power sphere,040.mp4,14825,15575,Power,Housekeeper 1,30.0,circular,pow-circular,0:09:53
30,precision disk,040.mp4,18775,19625,Precision,Housekeeper 1,34.0,circular,pre-circular,0:12:31
31,power sphere,040.mp4,19625,20900,Power,Housekeeper 1,51.0,circular,pow-circular,0:13:05
32,power sphere,040.mp4,21000,21575,Power,Housekeeper 1,23.0,circular,pow-circular,0:14:00
33,power sphere,040.mp4,21800,22100,Power,Housekeeper 1,12.0,circular,pow-circular,0:14:32
34,index finger extension,040.mp4,25450,25600,Power,Housekeeper 1,6.0,pow-prismatic,pow-oblique,0:16:58
35,medium wrap,040.mp4,35125,35750,Power,Housekeeper 1,25.0,pow-prismatic,pow-cylindric,0:23:25
36,lateral pinch,040.mp4,39875,40775,Intermediate,Housekeeper 1,36.0,int-lateral,int-lateral,0:26:35
37,medium wrap,041.mp4,375,400,Power,Housekeeper 1,1.0,pow-prismatic,pow-cylindric,0:00:15
38,adducted thumb,041.mp4,400,450,Power,Housekeeper 1,2.0,pow-prismatic,pow-oblique,0:00:16
39,medium wrap,041.mp4,700,850,Power,Housekeeper 1,6.0,pow-prismatic,pow-cylindric,0:00:28
40,medium wrap,041.mp4,1250,1600,Power,Housekeeper 1,14.0,pow-prismatic,pow-cylindric,0:00:50
41,thumb-2 finger,041.mp4,1600,1625,Precision,Housekeeper 1,1.0,pre-prismatic,pre-prismatic,0:01:04
42,thumb-4 finger,041.mp4,1625,1725,Precision,Housekeeper 1,4.0,pre-prismatic,pre-prismatic,0:01:05
43,thumb-index finger,041.mp4,1725,1850,Precision,Housekeeper 1,5.0,pre-prismatic,pre-pinch,0:01:09
44,lateral pinch,041.mp4,1850,1950,Intermediate,Housekeeper 1,4.0,int-lateral,int-lateral,0:01:14
46,medium wrap,041.mp4,2275,2625,Power,Housekeeper 1,14.0,pow-prismatic,pow-cylindric,0:01:31
47,power sphere,041.mp4,2625,2725,Power,Housekeeper 1,4.0,circular,pow-circular,0:01:45
50,thumb-3 finger,041.mp4,3175,3225,Precision,Housekeeper 1,2.0,pre-prismatic,pre-prismatic,0:02:07
51,thumb-2 finger,041.mp4,3225,3275,Precision,Housekeeper 1,2.0,pre-prismatic,pre-prismatic,0:02:09
52,thumb-4 finger,041.mp4,3325,3375,Precision,Housekeeper 1,2.0,pre-prismatic,pre-prismatic,0:02:13
53,power sphere,041.mp4,3425,3475,Power,Housekeeper 1,2.0,circular,pow-circular,0:02:17
54,medium wrap,041.mp4,3525,3750,Power,Housekeeper 1,9.0,pow-prismatic,pow-cylindric,0:02:21
