Grasp,Object,Task,Video,TimeStamp,Subject,Duration,A,B,C,GraspedDimension,Rigidity,Roundness,Mass,CCObj,GraspSize,PIP,OppType,Shape,Type,Force,Constraint,Class,CCTask,blackRatio
quadpod,spray bottle,picking up,40,0:00:47,Housekeeper 1,2,15,6,3.5,b/c,squeezable,non-round,400,0,6,Precision,Pad,bladed,irregular,weight,uuu,hold,0,0
lateral pinch,cloth,holding,40,0:00:49,Housekeeper 1,5,,,,floppy,floppy,floppy,22.5,0,,Intermediate,Side,floppy,floppy,weight,uuu,hold,0,0
precision disk,cloth,wiping,40,0:00:54,Housekeeper 1,15,,,,floppy,floppy,floppy,22.5,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
lateral pinch,cloth,holding,40,0:01:09,Housekeeper 1,2,,,,floppy,floppy,floppy,22.5,0,,Intermediate,Side,floppy,floppy,weight,uuu,hold,0,0
writing tripod,wiper handle,picking up,40,0:01:11,Housekeeper 1,3,15,2,2,b/c,rigid,a,350,0,2,Precision,Side,prolate,cylinder,weight,uuu,hold,0,0
index finger extension,spray bottle,picking up,40,0:01:14,Housekeeper 1,19,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,uuu,hold,0,0
lateral pinch,cloth,holding,40,0:01:33,Housekeeper 1,9,,,,floppy,floppy,floppy,22.5,0,,Intermediate,Side,floppy,floppy,weight,uuu,hold,0,0
writing tripod,wiper handle,holding,40,0:01:42,Housekeeper 1,7,15,2,2,b/c,rigid,a,350,0,2,Precision,Side,prolate,cylinder,weight,uuu,hold,0,0
medium wrap,wiper handle,holding,40,0:01:49,Housekeeper 1,5,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
lateral pinch,cloth,holding,40,0:01:54,Housekeeper 1,2,,,,floppy,floppy,floppy,22.5,0,,Intermediate,Side,floppy,floppy,weight,uuu,hold,0,0
precision disk,cloth,wiping,40,0:01:56,Housekeeper 1,18,,,,floppy,floppy,floppy,22.5,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
medium wrap,cloth,holding,40,0:02:14,Housekeeper 1,4,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,weight,uuu,hold,0,0
medium wrap,spray bottle,holding,40,0:02:18,Housekeeper 1,9,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,uuu,hold,0,0
no grasp,,,40,0:02:27,Housekeeper 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,wiper handle,wiping,40,0:02:29,Housekeeper 1,4,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,interaction,ttr,use,0,0
index finger extension,wiper handle,wiping,40,0:03:13,Housekeeper 1,12,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,interaction,ttr,use,0,0
index finger extension,wiper handle,wiping,40,0:03:25,Housekeeper 1,20,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,interaction,ttr,use,0,0
adducted thumb,wiper handle,wiping,40,0:03:45,Housekeeper 1,8,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,interaction,ttr,use,0,0
index finger extension,wiper handle,wiping,40,0:03:53,Housekeeper 1,7,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,interaction,ttr,use,0,0
medium wrap,wiper handle,wiping,40,0:04:00,Housekeeper 1,12,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,interaction,ttr,use,0,0
no grasp,,wiping,40,0:04:12,Housekeeper 1,22,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,wiper handle,holding,40,0:04:34,Housekeeper 1,4,15,2,2,b/c,rigid,a,350,0,2,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
medium wrap,wiper handle,wiping,40,0:04:38,Housekeeper 1,5,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,interaction,ttr,use,0,0
index finger extension,wiper handle,wiping,40,0:04:43,Housekeeper 1,19,15,2,2,b/c,rigid,a,350,0,2,Power,Palm,prolate,cylinder,interaction,ttr,use,0,0
writing tripod,wiper handle,holding,40,0:05:02,Housekeeper 1,13,15,2,2,b/c,rigid,a,350,0,2,Precision,Side,prolate,cylinder,weight,uuu,hold,0,0
medium wrap,spray bottle,holding,40,0:05:15,Housekeeper 1,25,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,uuu,hold,0,0
precision disk,cloth,wiping,40,0:05:40,Housekeeper 1,27,,,,floppy,floppy,floppy,22.5,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0.545454545454545
no grasp,,wiping,40,0:06:07,Housekeeper 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,1
precision disk,cloth,wiping,40,0:06:10,Housekeeper 1,13,,,,floppy,floppy,floppy,22.5,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0.148148148148148
no grasp,,wiping,40,0:06:23,Housekeeper 1,12,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,cloth,wiping,40,0:06:35,Housekeeper 1,15,,,,floppy,floppy,floppy,22.5,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
lateral pinch,cloth,holding,40,0:06:50,Housekeeper 1,5,,,,floppy,floppy,floppy,22.5,0,,Intermediate,Side,floppy,floppy,weight,uuu,hold,0,0
platform,cloth,wiping,40,0:06:55,Housekeeper 1,7,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
no grasp,,wiping,40,0:07:02,Housekeeper 1,6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
platform,cloth,wiping,40,0:07:08,Housekeeper 1,4,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
lateral pinch,cloth,holding,40,0:07:12,Housekeeper 1,11,,,,floppy,floppy,floppy,22.5,0,,Intermediate,Side,floppy,floppy,weight,uuu,hold,0,0
no grasp,,wiping,40,0:07:23,Housekeeper 1,50,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,cloth,wiping,40,0:08:13,Housekeeper 1,80,,,,floppy,floppy,floppy,22.5,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0.565217391304348
medium wrap,spray bottle,holding,40,0:09:33,Housekeeper 1,16,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,uuu,hold,0,0.484848484848485
platform,cloth,wiping,40,0:09:49,Housekeeper 1,4,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0.666666666666667
power sphere,cloth,holding,40,0:09:53,Housekeeper 1,30,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,weight,uuu,hold,0,0
medium wrap,spray bottle,holding,40,0:10:23,Housekeeper 1,15,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,uuu,hold,0,0.225806451612903
index finger extension,lysol bottle,holding,40,0:10:38,Housekeeper 1,34,15,6.5,6.5,b/c,rigid,a,275,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0.0869565217391304
power sphere,cloth,wiping,40,0:11:12,Housekeeper 1,26,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0.490566037735849
power sphere,cloth,holding,40,0:11:38,Housekeeper 1,13,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,weight,uuu,hold,0,0.666666666666667
power sphere,cloth,wiping,40,0:11:51,Housekeeper 1,40,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0.567901234567901
precision disk,cloth,wiping,40,0:12:31,Housekeeper 1,34,,,,floppy,floppy,floppy,22.5,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
power sphere,cloth,wiping,40,0:13:05,Housekeeper 1,51,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
no grasp,,wiping,40,0:13:56,Housekeeper 1,4,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
power sphere,cloth,holding,40,0:14:00,Housekeeper 1,23,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,40,0:14:23,Housekeeper 1,9,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0.263157894736842
power sphere,cloth,wiping,40,0:14:32,Housekeeper 1,12,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
no grasp,,,40,0:15:33,Housekeeper 1,24,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
index finger extension,lysol bottle,spraying,40,0:16:58,Housekeeper 1,6,15,6.5,6.5,b/c,rigid,a,275,0,6.5,Power,Palm,prolate,cylinder,weight,utt,use,0,0
power sphere,cloth,wiping,40,0:18:29,Housekeeper 1,40,,,,floppy,floppy,floppy,22.5,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0.0246913580246914
no grasp,,,40,0:20:40,Housekeeper 1,34,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0.0434782608695652
medium wrap,vacuum,holding,40,0:23:25,Housekeeper 1,25,15,4.5,4.5,b/c,rigid,a,1000,0,4.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
