ID,Grasp,Video,StartFrame,EndFrame,PIP,Subject,Duration,BigCategories,SmallCategories,Timestamp
4836,light tool,086.mp4,26425,26525,Power,Machinist 1,4.0,pow-prismatic,pow-oblique,0:17:37
7887,tripod,064.mp4,14394,14611,Precision,Machinist 2,8.68,circular,pre-circular,09:35.8
1636,large diameter,052.mp4,13875,13986,Power,Housekeeper 1,4.44,pow-prismatic,pow-cylindric,0:09:15
5620,thumb-3 finger,090.mp4,24475,24800,Precision,Machinist 1,13.0,pre-prismatic,pre-prismatic,0:16:19
9669,adduction,082.mp4,4290,4343,Intermediate,Machinist 2,2.12,pre-prismatic,pre-pinch,02:51.6
3375,precision disk,162.mp4,1380,3273,Precision,Housekeeper 2,75.72,circular,pre-circular,00:55.2
6183,light tool,093.mp4,30964,31342,Power,Machinist 1,15.12,pow-prismatic,pow-oblique,20:38.6
8860,tripod,073.mp4,10735,10758,Precision,Machinist 2,0.92,circular,pre-circular,07:09.4
8538,index finger extension,070.mp4,10380,10529,Power,Machinist 2,5.96,pow-prismatic,pow-oblique,06:55.2
4723,thumb-4 finger,086.mp4,5875,5900,Precision,Machinist 1,1.0,pre-prismatic,pre-prismatic,0:03:55
8603,lateral tripod,071.mp4,5895,5988,Intermediate,Machinist 2,3.72,int-lateral,int-lateral,03:55.8
9606,lateral pinch,081.mp4,13175,13225,Intermediate,Machinist 2,2.0,int-lateral,int-lateral,08:47.0
9237,thumb-2 finger,078.mp4,10680,10703,Precision,Machinist 2,0.92,pre-prismatic,pre-prismatic,07:07.2
4465,medium wrap,084.mp4,25100,26175,Power,Machinist 1,43.0,pow-prismatic,pow-cylindric,0:16:44
9881,lateral tripod,002.mp4,9150,9552,Intermediate,Machinist 2,16.1,int-lateral,int-lateral,06:06.0
798,thumb-index finger,045.mp4,3075,3150,Precision,Housekeeper 1,3.0,pre-prismatic,pre-pinch,0:02:03
4978,tripod,087.mp4,22175,22225,Precision,Machinist 1,2.0,circular,pre-circular,0:14:47
3086,precision disk,157.mp4,14655,15024,Precision,Housekeeper 2,14.76,circular,pre-circular,09:46.2
5652,thumb-3 finger,090.mp4,34550,34675,Precision,Machinist 1,5.0,pre-prismatic,pre-prismatic,0:23:02
10306,tripod,015.mp4,5565,5605,Precision,Machinist 2,1.6,circular,pre-circular,03:42.6
620,adduction,044.mp4,8475,8550,Intermediate,Housekeeper 1,3.0,pre-prismatic,pre-pinch,0:05:39
9331,lateral tripod,079.mp4,4895,4916,Intermediate,Machinist 2,0.84,int-lateral,int-lateral,03:15.8
7523,lateral tripod,060.mp4,5390,5411,Intermediate,Machinist 2,0.84,int-lateral,int-lateral,03:35.6
9915,precision disk,003.mp4,797,1527,Precision,Machinist 2,29.2,circular,pre-circular,00:31.9
1200,lateral pinch,048.mp4,39250,39265,Intermediate,Housekeeper 1,0.6,int-lateral,int-lateral,0:26:10
6402,tripod,095.mp4,12982,13023,Precision,Machinist 1,1.64,circular,pre-circular,08:39.3
5308,light tool,088.mp4,37550,37725,Power,Machinist 1,7.0,pow-prismatic,pow-oblique,0:25:02
5714,light tool,091.mp4,7540,7592,Power,Machinist 1,2.08,pow-prismatic,pow-oblique,05:01.6
8707,lateral tripod,073.mp4,592,601,Intermediate,Machinist 2,0.36,int-lateral,int-lateral,00:23.7
4643,thumb-3 finger,085.mp4,32825,32875,Precision,Machinist 1,2.0,pre-prismatic,pre-prismatic,0:21:53
2154,large diameter,130.mp4,1757,1777,Power,Housekeeper 2,0.82,pow-prismatic,pow-cylindric,01:10.3
7570,power sphere,060.mp4,11040,11511,Power,Machinist 2,18.84,circular,pow-circular,07:21.6
3084,precision disk,157.mp4,13040,14638,Precision,Housekeeper 2,63.92,circular,pre-circular,08:41.6
1858,medium wrap,110.mp4,3537,3558,Power,Housekeeper 1,0.84,pow-prismatic,pow-cylindric,02:21.5
1442,lateral pinch,051.mp4,14725,14747,Intermediate,Housekeeper 1,0.88,int-lateral,int-lateral,0:09:49
10398,medium wrap,016.mp4,8700,8797,Power,Machinist 2,3.9,pow-prismatic,pow-cylindric,05:48.0
1841,thumb-2 finger,109.mp4,9440,9471,Precision,Housekeeper 1,1.24,pre-prismatic,pre-prismatic,06:17.6
9655,lateral tripod,082.mp4,3354,3371,Intermediate,Machinist 2,0.68,int-lateral,int-lateral,02:14.2
5934,tripod,092.mp4,20132,20396,Precision,Machinist 1,10.56,circular,pre-circular,13:25.3
10137,thumb-2 finger,012.mp4,6520,6782,Precision,Machinist 2,10.5,pre-prismatic,pre-prismatic,04:20.8
710,medium wrap,044.mp4,29875,29975,Power,Housekeeper 1,4.0,pow-prismatic,pow-cylindric,0:19:55
3839,adducted thumb,174.mp4,11417,11465,Power,Housekeeper 2,1.92,pow-prismatic,pow-oblique,07:36.7
1860,index finger extension,110.mp4,3795,4429,Power,Housekeeper 1,25.36,pow-prismatic,pow-oblique,02:31.8
903,precision disk,178.mp4,1850,2025,Precision,Housekeeper 1,7.0,circular,pre-circular,0:01:14
6525,tripod,095.mp4,34335,34526,Precision,Machinist 1,7.66,circular,pre-circular,22:53.4
10191,thumb-index finger,013.mp4,4392,4532,Precision,Machinist 2,5.6,pre-prismatic,pre-pinch,02:55.7
7051,medium wrap,054.mp4,9500,9518,Power,Machinist 2,0.72,pow-prismatic,pow-cylindric,06:20.0
7324,sphere-4 finger,058.mp4,2605,3237,Power,Machinist 2,25.28,circular,pow-circular,01:44.2
895,index finger extension,045.mp4,40250,40625,Power,Housekeeper 1,15.0,pow-prismatic,pow-oblique,0:26:50
4740,tripod,086.mp4,10225,10425,Precision,Machinist 1,8.0,circular,pre-circular,0:06:49
8405,lateral tripod,069.mp4,14880,14906,Intermediate,Machinist 2,1.04,int-lateral,int-lateral,09:55.2
935,ring,178.mp4,15475,15500,Power,Housekeeper 1,1.0,pow-prismatic,pow-cylindric,0:10:19
5093,thumb-4 finger,087.mp4,41275,41400,Precision,Machinist 1,5.0,pre-prismatic,pre-prismatic,0:27:31
4071,index finger extension,177.mp4,7332,7404,Power,Housekeeper 2,2.88,pow-prismatic,pow-oblique,04:53.3
6907,lateral pinch,053.mp4,4370,4448,Intermediate,Machinist 2,3.12,int-lateral,int-lateral,02:54.8
